platform,status,url,artifact,version,evidence
GitHub,verified,https://github.com/bbwdadfg/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,"Public repository HTTP 200; tags v0.1.0, v0.1.1, luarocks-v0.1.0, cocoapods-v0.1.0, maven-v0.1.0, homebrew-v0.1.0."
PyPI,verified,https://pypi.org/project/aitextwatermarkremover-tools/,aitextwatermarkremover-tools,0.1.0,JSON API reports version 0.1.0; project page and simple index HTTP 200.
Go proxy,verified,https://proxy.golang.org/github.com/bbwdadfg/aitextwatermarkremover-tools/@v/v0.1.1.info,aitextwatermarkremover-tools,0.1.0,Go proxy resolves v0.1.0 and v0.1.1; pkg.go.dev documentation page follows to HTTP 200.
npm,verified,https://www.npmjs.com/package/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,"Published 0.1.0; registry metadata has homepage, GitHub repository, and atwr bin. npmjs.com HTML verifier returned HTTP 403."
Packagist,verified,https://packagist.org/packages/bbwdadfg/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,create-package returned success; package JSON lists repository and versions including v0.1.1.
crates.io/docs.rs,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,cargo publish --dry-run passed. Live publish returned 403 authentication failed. ~/.cargo/credentials.toml exists but was rejected; Keychain crates-token is absent.
RubyGems,verified,https://rubygems.org/gems/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,"API reports 0.1.0, homepage https://aitextwatermarkremover.com/, source_code_uri GitHub repo."
RubyDoc.info,submitted,https://www.rubydoc.info/gems/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,Ruby gem is public. RubyDoc project/version pages still return HTTP 404 while indexing.
pub.dev,verified,https://pub.dev/packages/aitextwatermarkremover_tools,aitextwatermarkremover-tools,0.1.0,Published 0.1.0; API reports homepage https://aitextwatermarkremover.com/.
Hex.pm/HexDocs,skipped_policy,,aitextwatermarkremover-tools,0.1.0,"User-provided Hex.pm notice says account bbwdadfg and its sole-owner packages were removed for spam; do not retry, create an alternate account, or republish there."
Clojars,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,Local mvn test passed. Deploy to https://repo.clojars.org returned 401 Unauthorized with the stored Clojars user/token.
Docker Hub,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,No local docker CLI. Hub repository create with the stored PAT as Bearer returned 401 requiring a Hub /v2/auth/token session. Registry image push was not completed.
JSR,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,TypeScript module and jsr.json are in the repo. Keychain jsr-token is missing. First publish also needs jsr.io scope/package approval.
Maven Central/javadoc.io,published,https://central.sonatype.com/publishing/deployments,io.github.bbwdadfg:aitextwatermarkremover-tools:0.1.0,0.1.0,central-publishing-maven-plugin uploaded and VALIDATED deployment 52b22a6a-c4f8-4f2d-8eb7-bc0814f5dee8. Publisher API POST returned HTTP 204. repo1 POM still 404 at record time (indexing lag).
NuGet,verified,https://www.nuget.org/packages/AtwrTools/0.1.0,aitextwatermarkremover-tools,0.1.0,Push returned Created. Package page HTTP 200 contains 0.1.0 and homepage. Flat-container API lists 0.1.0.
CocoaPods,verified,https://cocoapods.org/pods/AtwrTools,aitextwatermarkremover-tools,0.1.0,pod trunk info reports AtwrTools 0.1.0. First trunk push returned HTTP 500 after create; retry said duplicate. cocoapods.org/pods/AtwrTools HTTP 200.
Swift Package Registry,submitted,https://github.com/bbwdadfg/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,Public Package.swift and AtwrTools sources are on GitHub. swift package dump-package succeeded. Public swiftpackageregistry.com index page was not confirmed in this run.
LuaRocks,verified,https://luarocks.org/modules/bbwdadfg/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,luarocks upload 0.1.0-1 succeeded; rockspec HTTP 200 at https://luarocks.org/manifests/bbwdadfg/aitextwatermarkremover-tools-0.1.0-1.rockspec.
CPAN/MetaCPAN,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,Local Perl tests passed and a source tarball was built. cpan-upload to PAUSE returned 401 Unauthorized with stored cpan-user/cpan-token.
Hackage,blocked_credentials,,aitextwatermarkremover-tools,0.1.0,Haskell package tests passed locally. Keychain hackage-token is missing. First Hackage upload also commonly needs uploader-group approval.
Chocolatey,submitted,https://community.chocolatey.org/packages/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,nuget push to push.chocolatey.org returned Created. Community package page is live and still in pending automated review.
GitHub Packages,published,https://github.com/bbwdadfg/aitextwatermarkremover-tools/pkgs/npm/aitextwatermarkremover-tools,@bbwdadfg/aitextwatermarkremover-tools,0.1.0,npm publish to npm.pkg.github.com succeeded for 0.1.0. Public package page remains 404 until visibility is changed from the default private state.
GitLab Package Registry,verified,https://gitlab.com/baiwei.chu/aitextwatermarkremover-tools/-/packages,aitextwatermarkremover-tools,0.1.0,"Public project 85475708 created. Generic package PUT returned 201. Unauthenticated project, packages page, and artifact URL return HTTP 200. Archive sha256 3d8337c33bdb524ec8535555480462275d1843c74cf3e6f219b1b82de2f7fa91."
Homebrew,verified,https://github.com/bbwdadfg/homebrew-aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,"Public tap Formula is live. brew tap, brew trust --formula, brew install, and `atwr --help` succeeded locally."
Open VSX,verified,https://open-vsx.org/extension/bbwdadfg/aitextwatermarkremover-tools,aitextwatermarkremover-tools,0.1.0,ovsx publish succeeded for bbwdadfg.aitextwatermarkremover-tools 0.1.0. Public extension page returns HTTP 200.
